model,ticker,accuracy,precision,sharpe,max_drawdown,total_return,buy_hold_return,n_trades
lgbm,AAPL,0.5058823529411764,0.5327380952380952,0.61832555940366,-0.30222595893581794,0.24810480141056135,0.3397378944600731,336
lstm,AAPL,0.5458823529411765,0.5458823529411765,0.7209711822331353,-0.30222595893581794,0.3397378944600731,0.3397378944600731,425
tcn,AAPL,0.5458823529411765,0.5458823529411765,0.7209711822331353,-0.30222595893581794,0.3397378944600731,0.3397378944600731,425
patchtst,AAPL,0.5458823529411765,0.5458823529411765,0.7209711822331353,-0.30222595893581794,0.3397378944600731,0.3397378944600731,425
tft,AAPL,0.5458823529411765,0.5458823529411765,0.7209711822331353,-0.30222595893581794,0.3397378944600731,0.3397378944600731,425
lgbm,GOOGL,0.5694117647058824,0.6200873362445415,1.6178807771896155,-0.29805868470807717,0.8832496790341671,0.8565278807262255,229
lstm,GOOGL,0.56,0.56,1.2899056313828288,-0.29805868470807717,0.8565278807262255,0.8565278807262255,425
tcn,GOOGL,0.56,0.56,1.2899056313828288,-0.29805868470807717,0.8565278807262255,0.8565278807262255,425
patchtst,GOOGL,0.56,0.56,1.2899056313828288,-0.29805868470807717,0.8565278807262255,0.8565278807262255,425
tft,GOOGL,0.56,0.56,1.2899056313828288,-0.29805868470807717,0.8565278807262255,0.8565278807262255,425
lgbm,MSFT,0.4541176470588235,0.0,0.0,0.0,0.0,0.2155833271800427,0
lstm,MSFT,0.5458823529411765,0.5458823529411765,0.5320626106066139,-0.3449839756815875,0.2155833271800427,0.2155833271800427,425
tcn,MSFT,0.5458823529411765,0.5458823529411765,0.5320626106066139,-0.3449839756815875,0.2155833271800427,0.2155833271800427,425
patchtst,MSFT,0.5458823529411765,0.5458823529411765,0.5320626106066139,-0.3449839756815875,0.2155833271800427,0.2155833271800427,425
tft,MSFT,0.5458823529411765,0.5458823529411765,0.5320626106066139,-0.3449839756815875,0.2155833271800427,0.2155833271800427,425
lgbm,AMZN,0.52,0.5179856115107914,0.19938174657199426,-0.29496816746517973,0.021793465658134892,0.15565884494047966,417
lstm,AMZN,0.5152941176470588,0.5152941176470588,0.41743539997862633,-0.30876638431876,0.15565884494047966,0.15565884494047966,425
tcn,AMZN,0.5152941176470588,0.5152941176470588,0.41743539997862633,-0.30876638431876,0.15565884494047966,0.15565884494047966,425
patchtst,AMZN,0.5152941176470588,0.5152941176470588,0.41743539997862633,-0.30876638431876,0.15565884494047966,0.15565884494047966,425
tft,AMZN,0.5152941176470588,0.5152941176470588,0.41743539997862633,-0.30876638431876,0.15565884494047966,0.15565884494047966,425
lgbm,NVDA,0.56,0.5686746987951807,0.6655053126588364,-0.3688102187763309,0.39584909067088003,0.5750354128706707,415
lstm,NVDA,0.5741176470588235,0.5741176470588235,0.8193498394450153,-0.3688102187763309,0.5750354128706707,0.5750354128706707,425
tcn,NVDA,0.5741176470588235,0.5741176470588235,0.8193498394450153,-0.3688102187763309,0.5750354128706707,0.5750354128706707,425
patchtst,NVDA,0.5741176470588235,0.5741176470588235,0.8193498394450153,-0.3688102187763309,0.5750354128706707,0.5750354128706707,425
tft,NVDA,0.5741176470588235,0.5741176470588235,0.8193498394450153,-0.3688102187763309,0.5750354128706707,0.5750354128706707,425
lgbm,META,0.47044917257683216,0.0,0.0,0.0,0.0,0.06695974162288643,0
lstm,META,0.5295508274231678,0.5295508274231678,0.2949346529059338,-0.3415080818138728,0.06695974162288643,0.06695974162288643,423
tcn,META,0.5295508274231678,0.5295508274231678,0.2949346529059338,-0.3415080818138728,0.06695974162288643,0.06695974162288643,423
patchtst,META,0.5295508274231678,0.5295508274231678,0.2949346529059338,-0.3415080818138728,0.06695974162288643,0.06695974162288643,423
tft,META,0.5295508274231678,0.5295508274231678,0.2949346529059338,-0.3415080818138728,0.06695974162288643,0.06695974162288643,423
lgbm,TSLA,0.5317647058823529,0.6086956521739131,0.8936031687010948,-0.12591286580247157,0.3598807446154193,-0.11110834866302999,23
lstm,TSLA,0.48,0.48,0.16246383001339887,-0.48190182621571254,-0.11110834866302999,-0.11110834866302999,425
tcn,TSLA,0.48,0.48,0.16246383001339887,-0.48190182621571254,-0.11110834866302999,-0.11110834866302999,425
patchtst,TSLA,0.48,0.48,0.16246383001339887,-0.48190182621571254,-0.11110834866302999,-0.11110834866302999,425
tft,TSLA,0.48,0.48,0.16246383001339887,-0.48190182621571254,-0.11110834866302999,-0.11110834866302999,425
