pred_date,source_file,base_date,ticker,predicted_signal,up_probability,start_close,end_close,actual_return_pct,actual_signal,correct
20260516,predictions_20260516.csv,2026-05-08,NVDA,BUY,0.579,215.2,225.32,4.7,UP,1
20260516,predictions_20260516.csv,2026-05-08,AAPL,BUY,0.5778,293.05,300.23,2.45,UP,1
20260516,predictions_20260516.csv,2026-05-08,AMZN,BUY,0.5687,272.68,264.14,-3.13,DOWN,0
20260516,predictions_20260516.csv,2026-05-08,MSFT,BUY,0.5275,415.12,421.92,1.64,UP,1
20260516,predictions_20260516.csv,2026-05-08,GOOGL,BUY,0.5275,400.8,396.78,-1.0,DOWN,0
20260516,predictions_20260516.csv,2026-05-08,META,BUY,0.5114,609.63,614.23,0.75,UP,1
20260516,predictions_20260516.csv,2026-05-08,TSLA,HOLD,0.4849,428.35,422.24,-1.43,DOWN,1
20260517,predictions_multi_20260517.csv,2026-05-08,NVDA,BUY,0.6471,215.2,225.32,4.7,UP,1
20260517,predictions_multi_20260517.csv,2026-05-08,AAPL,BUY,0.6456,293.05,300.23,2.45,UP,1
20260517,predictions_multi_20260517.csv,2026-05-08,AMZN,BUY,0.644,272.68,264.14,-3.13,DOWN,0
20260517,predictions_multi_20260517.csv,2026-05-08,GOOGL,BUY,0.6362,400.8,396.78,-1.0,DOWN,0
20260517,predictions_multi_20260517.csv,2026-05-08,MSFT,BUY,0.6358,415.12,421.92,1.64,UP,1
20260517,predictions_multi_20260517.csv,2026-05-08,META,BUY,0.6331,609.63,614.23,0.75,UP,1
20260517,predictions_multi_20260517.csv,2026-05-08,TSLA,BUY,0.6278,428.35,422.24,-1.43,DOWN,0
