pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct,days_observed
20260616,AMZN,BUY,0.5058,-7.72,DOWN,0,7
20260616,AAPL,BUY,0.5004,-8.05,DOWN,0,7
20260616,NVDA,HOLD,0.4993,-5.63,DOWN,1,7
20260616,MSFT,HOLD,0.4984,-10.41,DOWN,1,7
20260616,META,HOLD,0.4983,-9.55,DOWN,1,7
20260616,GOOGL,HOLD,0.498,-7.91,DOWN,1,7
20260616,TSLA,HOLD,0.4952,-7.3,DOWN,1,7
20260621,NVDA,BUY,0.578,-7.73,DOWN,0,5
20260621,AMZN,BUY,0.5749,-0.04,DOWN,0,5
20260621,GOOGL,BUY,0.5539,-3.51,DOWN,0,5
20260621,META,BUY,0.5539,-2.41,DOWN,0,5
20260621,MSFT,BUY,0.5539,1.53,UP,1,5
20260621,AAPL,BUY,0.5318,-4.45,DOWN,0,5
20260621,TSLA,BUY,0.5318,-6.26,DOWN,0,5
