pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct,window_start,window_end
20260701,NVDA,BUY,0.5116,6.77,UP,1,2026-07-01,2026-07-10
20260701,AMZN,BUY,0.5108,1.51,UP,1,2026-07-01,2026-07-10
20260701,TSLA,BUY,0.5106,-4.12,DOWN,0,2026-07-01,2026-07-10
20260701,MSFT,BUY,0.5092,0.21,UP,1,2026-07-01,2026-07-10
20260701,META,BUY,0.5089,9.19,UP,1,2026-07-01,2026-07-10
20260701,GOOGL,BUY,0.5088,-1.12,DOWN,0,2026-07-01,2026-07-10
20260701,AAPL,BUY,0.5063,7.11,UP,1,2026-07-01,2026-07-10
20260706,NVDA,BUY,0.575,7.88,UP,1,2026-07-06,2026-07-10
20260706,AMZN,BUY,0.5711,0.48,UP,1,2026-07-06,2026-07-10
20260706,AAPL,BUY,0.5672,0.85,UP,1,2026-07-06,2026-07-10
20260706,MSFT,BUY,0.5594,-0.42,DOWN,0,2026-07-06,2026-07-10
20260706,GOOGL,BUY,0.5594,-2.53,DOWN,0,2026-07-06,2026-07-10
20260706,META,BUY,0.5594,11.48,UP,1,2026-07-06,2026-07-10
20260706,TSLA,BUY,0.5525,-2.86,DOWN,0,2026-07-06,2026-07-10
