pred_date,ticker,predicted_signal,ensemble_prob,actual_return_pct,actual_signal,correct
20260706,NVDA,BUY,0.575,7.88,UP,1
20260706,AMZN,BUY,0.5711,0.48,UP,1
20260706,AAPL,BUY,0.5672,0.85,UP,1
20260706,MSFT,BUY,0.5594,-0.42,DOWN,0
20260706,GOOGL,BUY,0.5594,-2.53,DOWN,0
20260706,META,BUY,0.5594,11.48,UP,1
20260706,TSLA,BUY,0.5525,-2.86,DOWN,0
20260711,AMZN,BUY,0.5605,1.04,UP,1
20260711,NVDA,BUY,0.5605,1.9,UP,1
20260711,AAPL,BUY,0.5569,5.03,UP,1
20260711,GOOGL,BUY,0.5333,0.55,UP,1
20260711,MSFT,BUY,0.5288,2.59,UP,1
20260711,META,BUY,0.518,1.19,UP,1
20260711,TSLA,BUY,0.5114,-0.94,DOWN,0
