pred_date,ticker,predicted_signal,ensemble_prob,start_date,end_date,actual_return_pct,actual_signal,correct
20260826,AMZN,BUY,0.5684,2026-08-26,2026-09-01,-2.06,DOWN,0
20260826,NVDA,BUY,0.5652,2026-08-26,2026-09-01,3.71,UP,1
20260826,AAPL,BUY,0.5629,2026-08-26,2026-09-01,3.73,UP,1
20260826,META,BUY,0.5629,2026-08-26,2026-09-01,0.42,UP,1
20260826,GOOGL,BUY,0.5629,2026-08-26,2026-09-01,-2.04,DOWN,0
20260826,TSLA,BUY,0.5629,2026-08-26,2026-09-01,2.97,UP,1
20260826,MSFT,BUY,0.5465,2026-08-26,2026-09-01,0.94,UP,1
20260831,AMZN,HOLD,0.4735,2026-08-31,2026-09-01,-1.87,DOWN,1
20260831,NVDA,HOLD,0.4684,2026-08-31,2026-09-01,-1.51,DOWN,1
20260831,GOOGL,HOLD,0.4665,2026-08-31,2026-09-01,-1.28,DOWN,1
20260831,META,HOLD,0.4662,2026-08-31,2026-09-01,1.08,UP,0
20260831,AAPL,HOLD,0.4661,2026-08-31,2026-09-01,2.61,UP,0
20260831,TSLA,HOLD,0.4661,2026-08-31,2026-09-01,-3.22,DOWN,1
20260831,MSFT,HOLD,0.4627,2026-08-31,2026-09-01,-1.24,DOWN,1
